reep_id,sofascore_id
reep_p85b119b3,1177240
reep_p91e42f77,355174
reep_p702fba3b,987504
reep_pf90adee0,280609
reep_p448347bf,1402913
reep_p14133c81,1146018
reep_pa2b25068,957604
reep_pef7e108c,992587
reep_pa95942e3,884189
reep_p3d3786af,879349
reep_p197fcdb8,913654
reep_p19559a35,1002524
reep_p27a9d442,805465
reep_p57dd6fd7,827668
reep_p6b7f2144,1091303
reep_p866cf2ac,576266
reep_pc357b9dd,138126
reep_pb9ada75e,1002837
reep_p03ab6c80,1472288
reep_p7a3ab4b8,1119328
reep_p232d6114,959805
reep_pd5fde836,851284
reep_pccd566d1,1103488
reep_p86064f0a,786133
reep_pcbeda6d3,989882
reep_p523cad8a,577726
reep_p2c15ea08,295339
reep_p3f8a7c35,1015733
reep_p82cbb6b5,149479
reep_p9c946d64,1464966
reep_p7744d896,931278
reep_pfbcc0b90,979128
reep_p93c48489,362504
reep_p20a6b125,1143667
reep_p4a3931ca,885908
reep_pe09eb02b,1564998
reep_p523eb678,115516
reep_p0a3dfb36,1087359
reep_pb735de26,839638
reep_p7b61738e,986395
reep_pbcc14303,67769
reep_p5de3bf12,1015292
reep_p8b09f2ca,829207
reep_p49434d07,227196
reep_pb3e5c061,790965
reep_p50d36800,158213
reep_p0ba4cf0a,865500
reep_pad0922b8,957615
reep_p06996c10,827606
reep_p24cb815f,155974
reep_pd7fcf228,791190
reep_p0f820fed,249399
reep_p9c47dd85,888949
reep_p1779a864,830127
reep_p140f5b33,78893
reep_pc04f5d8c,539792
reep_pa6ff0453,925930
reep_p62b12527,954066
reep_pd147eacf,872919
reep_pbb770596,1165681
reep_p5b457484,358822
reep_p7564d2f8,322391
reep_p0dc87238,904897
reep_p40c423d9,318941
reep_p65cd007e,280955
reep_p104c77ea,217704
reep_pd2da1ded,359334
reep_pdd2352e8,1836024
reep_pcb45655d,160893
reep_p2b44f689,795005
reep_pe8e4a939,548050
reep_pdb3dd29e,1100965
reep_p5c4df619,981168
reep_pdb61581c,1605921
reep_p9d7392d6,988351
reep_p6ca7e2e2,892624
reep_pa7094eb6,793167
reep_pb93cb7e7,158583
reep_p8dcd732f,892141
reep_p4b9e406a,822743
reep_p11709fe3,966849
reep_p9f010aae,358108
reep_p635a1b59,879346
reep_p08c2428f,142148
reep_p443a2e69,1014845
reep_pa2d971ed,957143
reep_pfbbcdad0,924889
reep_pab6466ca,191188
reep_pd2a95e1b,1019333
reep_pd1f016d5,581060
reep_pf7848e6b,906021
reep_p3588281f,993899
reep_pbaef75b9,803021
reep_p2ff4bbfa,1403410
reep_p68846f0a,1014276
reep_p18860611,916926
reep_p56823be5,386958
reep_pe55edb07,1117723
reep_p2f618095,157377
reep_pebae6838,1110842
reep_pc24a698e,825945
reep_p892ed3c3,359272
reep_pfad38e22,111505
reep_pd31afba2,1026541
reep_pc98cd18d,1199057
reep_p241db6f2,822684
reep_pbfe7fbf7,355486
reep_p659bda09,886223
reep_p600a3a8d,1019957
reep_pbbc63bde,287833
reep_pfba39fb1,843746
reep_pb706a6e1,1022820
reep_pf0b0feed,825845
reep_pbcd3b2a8,973290
reep_p14f95755,880218
reep_p63450570,804434
reep_p2cd6680c,1172477
reep_pc8c16853,1118177
reep_pde32a881,881117
reep_p31ce6507,1035280
reep_pf4ed31c2,1096517
reep_p04f91041,803033
reep_pbcc483d9,1014410
reep_p30f81d1b,1065989
reep_pd57c1cb8,559504
reep_pcf40bdcb,344953
reep_pa05acbd0,944660
reep_p3595b098,70988
reep_p72f1d154,128587
reep_p7e2adf7e,316148
reep_p7426e165,788027
reep_p7bece315,893549
reep_p62dbb12b,155882
reep_pf1b79e66,118179
reep_p7eb9b15b,329417
reep_pd801a18b,855810
reep_p2f80fe5d,983542
reep_pede87226,985161
reep_p08dd3d2c,188307
reep_pe786eff3,151440
reep_pcf5c6f27,799041
reep_p008ea79a,933264
reep_p75e3fdc9,295361
reep_p7bf45a50,1101745
reep_pa6d88461,942213
reep_pf3dd45a5,800419
reep_p515bdea7,1514870
reep_p0531568b,797291
reep_p30026530,791592
reep_pa3ee0fc5,754330
reep_p190132b2,1127057
reep_p707118f7,143334
reep_pa57b5f05,804508
reep_p9c2ec484,868812
reep_pbd75ef59,151545
reep_pd3173aa3,902029
reep_p2801a81a,138024
reep_p9d6b9fad,109002
reep_pdd3d7262,307436
reep_padcc42bd,1513625
reep_p9b217ae7,799046
reep_p2a682071,881931
reep_p7b2e7719,978285
reep_p5cf1253c,941168
reep_pd63d883e,979480
reep_p8842cc07,889052
reep_pfa298ab6,877980
reep_p05ee9391,791079
reep_pb5fe3339,877977
reep_p9aa62ce3,1402912
reep_p2e39dd37,2087085
reep_p4aafadf2,826202
reep_p51301bc8,1103531
reep_p8470baed,818064
reep_pd056cb32,1036269
reep_p0ffcd491,333441
reep_p869fe1ff,826211
reep_pb89bc0c8,888906
reep_p8977f88c,805123
reep_p2b31811c,331737
reep_p73e38b00,1106352
reep_pb7b3e90c,1020422
reep_p4ae6a281,905347
